185.39.11.109 - - [18/Jun/2020:00:47:02 +0900] "-" 400 2101
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:24:24 +0900] "GET /bymt/admin HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:24:24 +0900] "GET /resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:24:25 +0900] "GET /resources/img/index/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:24:25 +0900] "GET /resources/img/index/mail.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:24:25 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:24:26 +0900] "GET / HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:24:26 +0900] "GET /resources/img/CMS/SeJong_img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:24:26 +0900] "GET /resources/img/CMS/DeaJeon_img2.png HTTP/1.1" 304 -
