127.0.0.1 - - [06/May/2020:10:29:09 +0900] "GET / HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [06/May/2020:10:29:10 +0900] "GET / HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [06/May/2020:10:29:10 +0900] "GET /resources/jquery/jstyle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:29:10 +0900] "GET /resources/img/index/index_back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:29:10 +0900] "GET /resources/img/index/mail.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:29:10 +0900] "GET /resources/img/index/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:29:10 +0900] "GET /resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:29:10 +0900] "GET /resources/img/index/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:29:10 +0900] "GET /resources/jquery/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:29:10 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/May/2020:10:29:25 +0900] "GET /announce/announcement HTTP/1.1" 200 10729
0:0:0:0:0:0:0:1 - - [06/May/2020:10:29:28 +0900] "GET /board/write HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:05 +0900] "GET / HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:06 +0900] "GET /sub/company HTTP/1.1" 200 4775
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:07 +0900] "GET /resources/img/company/introduce2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:07 +0900] "GET /resources/img/company/company.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:07 +0900] "GET /sub/business HTTP/1.1" 200 5406
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:07 +0900] "GET /resources/img/business/business2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:07 +0900] "GET /resources/img/business/business1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:07 +0900] "GET /resources/img/business/business3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:08 +0900] "GET /sub/goods HTTP/1.1" 200 7508
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:08 +0900] "GET /resources/img/goods/goods4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:08 +0900] "GET /resources/img/goods/goods5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:08 +0900] "GET /resources/img/goods/goods1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:08 +0900] "GET /resources/img/goods/goods3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:08 +0900] "GET /resources/img/goods/goods2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:08 +0900] "GET /resources/img/goods/goods6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:08 +0900] "GET /resources/img/goods/goods7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:08 +0900] "GET /resources/img/goods/goods8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:08 +0900] "GET /resources/img/goods/goods9.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:11 +0900] "GET /announce/announcement HTTP/1.1" 200 10729
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:12 +0900] "GET /announce/announcement HTTP/1.1" 200 10729
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:13 +0900] "GET /board/write HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [06/May/2020:10:30:14 +0900] "GET / HTTP/1.1" 200 4339
192.168.0.1 - - [06/May/2020:10:35:31 +0900] "GET / HTTP/1.1" 200 4339
192.168.0.1 - - [06/May/2020:10:35:31 +0900] "GET /resources/css/style.css HTTP/1.1" 304 -
192.168.0.1 - - [06/May/2020:10:35:31 +0900] "GET /resources/img/index/logo.png HTTP/1.1" 304 -
192.168.0.1 - - [06/May/2020:10:35:31 +0900] "GET /resources/jquery/jquery-3.4.1.min.js HTTP/1.1" 304 -
192.168.0.1 - - [06/May/2020:10:35:31 +0900] "GET /resources/img/index/index_back.jpg HTTP/1.1" 304 -
192.168.0.1 - - [06/May/2020:10:35:31 +0900] "GET /resources/img/index/close.png HTTP/1.1" 304 -
192.168.0.1 - - [06/May/2020:10:35:31 +0900] "GET /resources/jquery/jstyle.js HTTP/1.1" 304 -
192.168.0.1 - - [06/May/2020:10:35:32 +0900] "GET /resources/img/index/mail.png HTTP/1.1" 304 -
192.168.0.1 - - [06/May/2020:10:35:37 +0900] "GET /favicon.ico HTTP/1.1" 404 721
192.168.0.1 - - [06/May/2020:10:35:38 +0900] "GET /sub/company HTTP/1.1" 200 4819
192.168.0.1 - - [06/May/2020:10:35:39 +0900] "GET /resources/css/style.css;jsessionid=2A61ABDC13FCD8928C2A36574A55B14C HTTP/1.1" 200 18997
192.168.0.1 - - [06/May/2020:10:35:39 +0900] "GET /resources/img/company/introduce2.jpg HTTP/1.1" 200 37037
192.168.0.1 - - [06/May/2020:10:35:39 +0900] "GET /resources/img/company/company.jpg HTTP/1.1" 200 85164
192.168.0.1 - - [06/May/2020:10:35:39 +0900] "GET /sub/business HTTP/1.1" 200 5406
192.168.0.1 - - [06/May/2020:10:35:39 +0900] "GET /resources/img/business/business1.jpg HTTP/1.1" 200 26296
192.168.0.1 - - [06/May/2020:10:35:39 +0900] "GET /resources/img/business/business2.jpg HTTP/1.1" 200 21152
192.168.0.1 - - [06/May/2020:10:35:39 +0900] "GET /resources/img/business/business3.jpg HTTP/1.1" 200 26708
192.168.0.1 - - [06/May/2020:10:35:40 +0900] "GET /sub/goods HTTP/1.1" 200 7508
192.168.0.1 - - [06/May/2020:10:35:40 +0900] "GET /resources/img/goods/goods5.png HTTP/1.1" 200 37269
192.168.0.1 - - [06/May/2020:10:35:40 +0900] "GET /resources/img/goods/goods1.png HTTP/1.1" 200 44911
192.168.0.1 - - [06/May/2020:10:35:40 +0900] "GET /resources/img/goods/goods3.png HTTP/1.1" 200 109220
192.168.0.1 - - [06/May/2020:10:35:40 +0900] "GET /resources/img/goods/goods2.png HTTP/1.1" 200 101531
192.168.0.1 - - [06/May/2020:10:35:40 +0900] "GET /resources/img/goods/goods6.png HTTP/1.1" 200 130840
192.168.0.1 - - [06/May/2020:10:35:40 +0900] "GET /resources/img/goods/goods4.png HTTP/1.1" 200 126427
192.168.0.1 - - [06/May/2020:10:35:40 +0900] "GET /resources/img/goods/goods7.png HTTP/1.1" 200 125449
